signal,ticker,horizon,ret_type,n,ic,ci_lo,ci_hi,p,bh_reject,total_pnl,mean_per_trade,hit_rate,std_pnl
llm,TSLA,15,raw,470,0.03843448405736503,-0.050309049606383126,0.12677534317891997,0.193,False,0.01505645181911447,3.203500387045632e-05,0.5153664302600472,0.004533037003760665
lm,AAPL,1,raw,502,-0.013322746323866496,-0.10101585300522355,0.07810129598768857,0.625,False,-5.7723485864418986e-05,-1.1498702363430077e-07,0.5,0.00041532438544690487
lm,AAPL,5,raw,498,-0.005518248801185534,-0.09360657801124918,0.08892447200817588,0.505,False,-0.0013745159841226885,-2.7600722572744748e-06,0.4970414201183432,0.0007028738955129553
lm,AAPL,15,raw,484,0.06426980806671036,-0.016951322015836996,0.1517121275417593,0.063,False,0.03954198587629369,8.169831792622663e-05,0.53125,0.0009151109118479584
lm,AMD,1,raw,265,-0.05490415671987225,-0.17186549122359845,0.06511756921572665,0.831,False,0.0019774786227434726,7.46218348205084e-06,0.5132743362831859,0.0009515765592154774
lm,AMD,5,raw,262,-0.022727217759847096,-0.14945397748736328,0.10350888183952414,0.627,False,-0.02606785267444977,-9.949562089484645e-05,0.48672566371681414,0.002155800625476971
lm,AMD,15,raw,246,0.05550878497530382,-0.07516239222967165,0.17556514774113743,0.215,False,0.0318754076063861,0.0001295748276682362,0.5094339622641509,0.002653439064344292
lm,CELH,1,raw,27,0.10986997603034412,,,0.309,False,0.0009940884001737,3.681808889532222e-05,0.6,0.0005392546784469084
lm,CELH,5,raw,27,-0.21825016860170932,,,0.914,False,-0.013754772189465003,-0.0005094360070172224,0.2,0.002116971457643754
lm,CELH,15,raw,26,-0.40456848568084786,,,0.953,False,-0.0266687642318452,-0.0010257217012248155,0.25,0.00371520629732409
lm,GILD,1,raw,53,0.20947310532319408,-0.04038113528743657,0.4465290169423483,0.057,False,0.0010055911420987248,1.897341777544764e-05,0.8,0.0003315856757079048
lm,GILD,5,raw,53,0.06994785491146294,-0.13937022208135316,0.28613296146053685,0.257,False,0.004100674847773535,7.737122354289688e-05,0.46153846153846156,0.0006479223447790266
lm,GILD,15,raw,52,-0.22189908693153867,-0.47581993885197116,0.04105228582278578,0.938,False,-0.013869733958668803,-0.00026672565305132313,0.3333333333333333,0.0015708864780264195
lm,HON,1,raw,37,0.07185043841073054,-0.3340249591554719,0.42475186394652653,0.334,False,0.002454627194175094,6.634127551824579e-05,0.7142857142857143,0.00040675257733119107
lm,HON,5,raw,37,0.10246473855920059,-0.26399707005449263,0.43610957601830175,0.315,False,0.005452035805013808,0.00014735231905442725,0.5333333333333333,0.0007475959115016687
lm,HON,15,raw,37,0.2013035951510376,-0.1524571427052453,0.4835926616460315,0.117,False,0.0118738057186726,0.00032091366807223244,0.6666666666666666,0.0010870423285849445
lm,META,1,raw,433,-0.0113921502058998,-0.10050036272542638,0.08131080417488697,0.602,False,-0.005531279321859517,-1.2774317140553158e-05,0.5069444444444444,0.0003383319694948559
lm,META,5,raw,428,-0.0798324402109771,-0.17543050088743775,0.015136534024870934,0.951,False,-0.01797748054648158,-4.2003459220751355e-05,0.43448275862068964,0.0007247864941491894
lm,META,15,raw,415,-0.007503278337297084,-0.11010021572373944,0.09227324389281202,0.582,False,-0.005721600051832406,-1.3786988076704592e-05,0.475177304964539,0.0014002007329435105
lm,NVDA,1,raw,918,0.07755169085089883,0.013509637528941661,0.13888820666948867,0.008,False,0.029145374929064244,3.174877443253186e-05,0.5539568345323741,0.0004598441427789854
lm,NVDA,5,raw,910,-0.049523355371957435,-0.11798607809271439,0.020196181430051727,0.927,False,-0.046651422816760255,-5.126529979863764e-05,0.45195729537366547,0.001135254730021901
lm,NVDA,15,raw,883,-0.03215265844536689,-0.09823883680485347,0.0349223407184011,0.825,False,-0.056891635073920366,-6.44299377960593e-05,0.483271375464684,0.0019690161610349944
lm,PEP,1,raw,44,-0.15418842162878635,-0.4330542392550816,0.15925866514240244,0.834,False,-0.003063504866266868,-6.962511059697427e-05,0.38461538461538464,0.00040826172460271094
lm,PEP,5,raw,43,-0.22937275206565824,-0.4964992179357298,0.08245532065434975,0.928,False,0.0005490074945272562,1.2767616151796656e-05,0.16666666666666666,0.0011241614109634924
lm,PEP,15,raw,41,-0.11481743805453724,-0.4795399284837237,0.2292585098147525,0.736,False,0.00753168352408067,0.00018369959814830905,0.5,0.002445765313193028
lm,SOFI,1,raw,92,0.04572290953078097,-0.1340762826400765,0.22879867746790455,0.302,False,-0.00035912899696890056,-3.903576054009789e-06,0.5714285714285714,0.0006161353166124903
lm,SOFI,5,raw,91,0.15960166629982567,-0.04134395893289261,0.34630552836944334,0.058,False,0.028346726218667396,0.00031150248591942196,0.6666666666666666,0.0015754819578851049
lm,SOFI,15,raw,89,0.14637213495402548,-0.042435165017646014,0.33585735669501093,0.067,False,0.043590870366326105,0.0004897850602957989,0.7142857142857143,0.002398446689256303
lm,TSLA,1,raw,494,0.10550081690174308,0.014821641473001683,0.18904761431409972,0.01,False,0.023065975128222102,4.669225734457915e-05,0.609271523178808,0.0006864018740301719
lm,TSLA,5,raw,487,0.03389102440433755,-0.057032509583919554,0.12457488992354229,0.211,False,0.0014546731533049764,2.9870085283469743e-06,0.5,0.0013122132800857363
lm,TSLA,15,raw,470,0.04214783517677654,-0.04322407137039056,0.1196168275462156,0.171,False,0.01276465774262505,2.7158846260904363e-05,0.5874125874125874,0.002476998985186524
ofi,AAPL,1,raw,502,-0.08394819862103751,-0.17804582304425992,0.006155111008098597,0.967,False,-0.025400500608063883,-5.059860678897188e-05,0.45625,0.000614982081953655
ofi,AAPL,5,raw,498,-0.03748103875275409,-0.12685971716166203,0.05640004127957921,0.772,False,-0.036870579753214755,-7.403730874139509e-05,0.4506172839506173,0.0011630639692890284
ofi,AAPL,15,raw,484,-0.009846514449517854,-0.09759444278399679,0.08252055757817242,0.603,False,-0.010965951404372745,-2.2656924389199888e-05,0.48326359832635984,0.001829706884387367
ofi,AMD,1,raw,265,0.016622033012010123,-0.10772150873594208,0.13697165191613792,0.406,False,0.013871665319024316,5.23459068642427e-05,0.5038461538461538,0.001474939473618264
ofi,AMD,5,raw,262,0.01367161109815875,-0.1277711128905042,0.1382970649123571,0.433,False,-0.007279447015952491,-2.7784148915849202e-05,0.5019607843137255,0.002904385938400218
ofi,AMD,15,raw,246,-0.01450035891179395,-0.15461894231460535,0.10764356522086833,0.596,False,-0.035578278405581025,-0.00014462714799016676,0.5284552845528455,0.004363744161288239
ofi,CELH,1,raw,27,-0.3353696410716134,-0.6754247625380212,0.06683964478990914,0.943,False,-0.0091490779573403,-0.00033885473916075184,0.4166666666666667,0.0011058774478031766
ofi,CELH,5,raw,27,-0.25824175824175827,-0.6043688251398643,0.17267139979425453,0.88,False,-0.0222885597450319,-0.0008255022127789593,0.4074074074074074,0.0032249774832751165
ofi,CELH,15,raw,26,-0.39965811965811965,-0.7059480222454855,0.034084485798108556,0.972,False,-0.0545404601693671,-0.002097710006514119,0.4230769230769231,0.006140676667996085
ofi,GILD,1,raw,53,0.139461747836019,-0.14544993429320183,0.41489915326667043,0.166,False,0.007159901656303712,0.0001350924840812021,0.5294117647058824,0.0011410830298926044
ofi,GILD,5,raw,53,0.049554453610586906,-0.2240915943924357,0.30650820968885206,0.358,False,0.010939359872006933,0.000206403016452961,0.46,0.0021030117496609216
ofi,GILD,15,raw,52,0.15752737521998814,-0.15893222368081833,0.4381819648014187,0.161,False,0.005956510765361302,0.0001145482839492558,0.48,0.004212829781314891
