label,group,n,ic,ci_lo,ci_hi,p,threshold,horizon,ticker,pct_of_trades,bh_reject
size>=0.3,TSLA_h15,229,0.05784484076224819,-0.07043096562255742,0.18423508191682889,0.202,0.3,15,TSLA,0.9875518672199171,False
size>=0.3,PEP_h1,24,-0.3160501724394915,-0.6262047844877356,0.11417202843547401,0.924,0.3,1,PEP,1.0,False
size>=0.3,PEP_h5,23,0.15863037270361285,-0.2271718539190857,0.5259296902455177,0.231,0.3,5,PEP,1.0,False
size>=0.3,PEP_h15,21,0.20268539072163008,-0.23769974456840437,0.6114670381263053,0.183,0.3,15,PEP,1.0,False
size>=0.3,GILD_h1,27,0.04500135041967069,-0.34310967805398335,0.4105851673735547,0.413,0.3,1,GILD,1.0,False
size>=0.3,GILD_h5,27,0.008013939115831765,-0.4114268527607334,0.3976487699024043,0.492,0.3,5,GILD,1.0,False
size>=0.3,GILD_h15,27,0.03143929960826308,-0.3671734042307333,0.4057369894145718,0.449,0.3,15,GILD,1.0,False
size>=0.3,HON_h1,19,-0.14336844589446973,-0.6060721005350055,0.4509456452535307,0.664,0.3,1,HON,1.0,False
size>=0.3,HON_h5,19,0.1513333595552736,-0.44314867553584975,0.5914747749103754,0.292,0.3,5,HON,1.0,False
size>=0.3,HON_h15,19,0.023009750575655633,-0.4822159077002686,0.533916165589982,0.465,0.3,15,HON,1.0,False
size>=0.3,SOFI_h1,30,0.227813916349725,-0.11748775421855721,0.5566251112148862,0.096,0.3,1,SOFI,1.0,False
size>=0.3,SOFI_h5,29,0.045004659581406495,-0.32062600825262527,0.42805915818872553,0.427,0.3,5,SOFI,1.0,False
size>=0.3,SOFI_h15,27,-0.008404977220207888,-0.44479815895466707,0.4356394382597776,0.531,0.3,15,SOFI,1.0,False
size>=0.3,CELH_h1,9,,,,,0.3,1,CELH,1.0,False
size>=0.3,CELH_h5,9,,,,,0.3,5,CELH,1.0,False
size>=0.3,CELH_h15,9,,,,,0.3,15,CELH,1.0,False
size>=0.3,POOLED_h1,1135,-0.03086789479066752,-0.09250923980058552,0.02754399868702716,0.833,0.3,1,POOLED,0.9785038693035254,False
size>=0.3,POOLED_h5,1125,-0.029230585278556088,-0.08779603407512312,0.028897043817665446,0.827,0.3,5,POOLED,0.9785038693035254,False
size>=0.3,POOLED_h15,1086,-0.02065903312169804,-0.08075187972692033,0.03962006936205633,0.736,0.3,15,POOLED,0.9785038693035254,False
size>=0.5,AAPL_h1,66,-0.025383093354852844,-0.2607281608127015,0.24838863270823533,0.579,0.5,1,AAPL,0.4024390243902439,False
size>=0.5,AAPL_h5,66,-0.016515996513511065,-0.26211474066135565,0.22334320231270735,0.564,0.5,5,AAPL,0.4024390243902439,False
size>=0.5,AAPL_h15,65,-0.062482222493360245,-0.3005777425494213,0.20819767746473475,0.643,0.5,15,AAPL,0.4024390243902439,False
size>=0.5,NVDA_h1,156,0.06226062510437923,-0.08879879313575223,0.20731547948080964,0.237,0.5,1,NVDA,0.4401114206128134,False
size>=0.5,NVDA_h5,156,-0.11246075180377096,-0.2658135710753113,0.03645401812336076,0.92,0.5,5,NVDA,0.4401114206128134,False
size>=0.5,NVDA_h15,151,-0.12613227616090533,-0.2912686498918913,0.03170480335781281,0.938,0.5,15,NVDA,0.4401114206128134,False
size>=0.5,AMD_h1,84,-0.14656128827775125,-0.35498157044014084,0.0713706873878952,0.893,0.5,1,AMD,0.551948051948052,False
size>=0.5,AMD_h5,83,-0.15888014426957867,-0.37609963319543516,0.058617160112312286,0.921,0.5,5,AMD,0.551948051948052,False
size>=0.5,AMD_h15,74,-0.18833374259684157,-0.4154637995498418,0.042064321955245204,0.949,0.5,15,AMD,0.551948051948052,False
size>=0.5,META_h1,63,-0.09818473093933645,-0.3602950420279282,0.16313837955806346,0.755,0.5,1,META,0.4632352941176471,False
size>=0.5,META_h5,62,-0.0005143876958465043,-0.219689897117765,0.2131494682784587,0.533,0.5,5,META,0.4632352941176471,False
size>=0.5,META_h15,61,-0.03375480149359563,-0.3069424952933317,0.23334436336160042,0.592,0.5,15,META,0.4632352941176471,False
size>=0.5,TSLA_h1,144,-0.08023394740904147,-0.2406596307999816,0.08676167963075947,0.819,0.5,1,TSLA,0.5975103734439834,False
size>=0.5,TSLA_h5,143,0.03410004536947292,-0.13476558731821847,0.20925678743476628,0.388,0.5,5,TSLA,0.5975103734439834,False
size>=0.5,TSLA_h15,139,0.03786312213240433,-0.13318574467847763,0.215027778014952,0.359,0.5,15,TSLA,0.5975103734439834,False
size>=0.5,PEP_h1,16,0.06134041580520855,-0.4811482300208398,0.6623833208603045,0.425,0.5,1,PEP,0.6666666666666666,False
size>=0.5,PEP_h5,15,0.4991451724051505,0.027486204679815576,0.7948804417636699,0.019,0.5,5,PEP,0.6666666666666666,False
size>=0.5,PEP_h15,14,0.4407864825764377,-0.10902973694350175,0.7986341331355532,0.041,0.5,15,PEP,0.6666666666666666,False
size>=0.5,GILD_h1,18,0.14700368542859113,-0.3869275892169959,0.5966837062380267,0.275,0.5,1,GILD,0.6666666666666666,False
size>=0.5,GILD_h5,18,0.015750394867349048,-0.5234290111799526,0.5152294072955408,0.491,0.5,5,GILD,0.6666666666666666,False
size>=0.5,GILD_h15,18,0.011550289569389303,-0.4857695288417114,0.5428078680833491,0.487,0.5,15,GILD,0.6666666666666666,False
size>=0.5,HON_h1,15,-0.15442808275568443,-0.6723264389755007,0.493066452901258,0.705,0.5,1,HON,0.7894736842105263,False
size>=0.5,HON_h5,15,0.14534407788770298,-0.5364975767700507,0.6393352505274013,0.306,0.5,5,HON,0.7894736842105263,False
size>=0.5,HON_h15,15,0.06722163602306264,-0.4752608965946855,0.690764804633922,0.417,0.5,15,HON,0.7894736842105263,False
size>=0.5,SOFI_h1,22,0.18800962726385378,-0.27726469619171873,0.57690849204146,0.215,0.5,1,SOFI,0.7333333333333333,False
size>=0.5,SOFI_h5,21,-0.06925167901865538,-0.5181362745698691,0.40401644708289636,0.59,0.5,5,SOFI,0.7333333333333333,False
size>=0.5,SOFI_h15,19,-0.1325683623998658,-0.6254561887756396,0.3913812691047451,0.683,0.5,15,SOFI,0.7333333333333333,False
size>=0.5,CELH_h1,8,,,,,0.5,1,CELH,0.8888888888888888,False
size>=0.5,CELH_h5,8,,,,,0.5,5,CELH,0.8888888888888888,False
size>=0.5,CELH_h15,8,,,,,0.5,15,CELH,0.8888888888888888,False
size>=0.5,POOLED_h1,592,-0.04194166196843722,-0.1237418345900755,0.03945725384213948,0.849,0.5,1,POOLED,0.5116079105760963,False
size>=0.5,POOLED_h5,587,-0.041835157991805705,-0.12276307798257208,0.036533683518332236,0.848,0.5,5,POOLED,0.5116079105760963,False
size>=0.5,POOLED_h15,564,-0.04574512823640736,-0.13290921369948563,0.03612462239773893,0.861,0.5,15,POOLED,0.5116079105760963,False
size>=0.7,NVDA_h1,4,,,,,0.7,1,NVDA,0.013927576601671309,False
size>=0.7,NVDA_h5,4,,,,,0.7,5,NVDA,0.013927576601671309,False
size>=0.7,NVDA_h15,4,,,,,0.7,15,NVDA,0.013927576601671309,False
size>=0.7,POOLED_h1,4,,,,,0.7,1,POOLED,0.004299226139294927,False
size>=0.7,POOLED_h5,4,,,,,0.7,5,POOLED,0.004299226139294927,False
size>=0.7,POOLED_h15,4,,,,,0.7,15,POOLED,0.004299226139294927,False
