ticker,date,file,spread_bps,n_rows,ic_1m,ic_5m,ic_15m
A,2019-10-07,A_2019-10-07_34200000_57600000_60_1,5.2,390,0.08468651739454283,-0.019467200660724562,-0.01774086833751962
A,2019-10-08,A_2019-10-08_34200000_57600000_60_1,7.13,390,-0.017548978837316497,0.001168729098291531,-0.042672676631881505
A,2019-10-09,A_2019-10-09_34200000_57600000_60_1,5.47,390,0.037886237281872945,0.03386901052646771,-0.04184789088467026
A,2019-10-10,A_2019-10-10_34200000_57600000_60_1,5.28,390,0.0033378922957005208,-0.003842051964869898,0.02663671754000264
A,2019-10-11,A_2019-10-11_34200000_57600000_60_1,7.45,390,0.04549076390059105,-0.038568455253606956,-0.10448380398790273
A,2019-10-14,A_2019-10-14_34200000_57600000_60_1,4.82,390,0.04402945634807683,0.019837029179960056,-0.0879797299851131
A,2019-10-15,A_2019-10-15_34200000_57600000_60_1,5.55,390,-0.11610444445872288,-0.025961073875639767,-0.006031384509220972
A,2019-10-16,A_2019-10-16_34200000_57600000_60_1,3.93,390,0.09603464009432151,0.038399416624028786,0.01132292233546831
A,2019-10-17,A_2019-10-17_34200000_57600000_60_1,4.95,390,0.03777957304871586,-0.04006122560184989,0.038074802122933786
A,2019-10-18,A_2019-10-18_34200000_57600000_60_1,3.99,390,0.04185740557181888,-0.016030835876218064,0.04867484626711885
A,2019-10-21,A_2019-10-21_34200000_57600000_60_1,4.73,390,-0.0031637062965629843,-0.050611023339802774,-0.03177164111322432
A,2019-10-22,A_2019-10-22_34200000_57600000_60_1,4.64,390,0.0136607578242321,0.10519185185839469,0.11051549639823
A,2019-10-23,A_2019-10-23_34200000_57600000_60_1,3.82,390,-0.05703815191364275,-0.026031583301758636,-0.0039693821234364325
A,2019-10-24,A_2019-10-24_34200000_57600000_60_1,4.45,390,-0.034046289948251,-0.05827145606326216,-0.0595868360630851
A,2019-10-25,A_2019-10-25_34200000_57600000_60_1,8.21,390,0.05477653863201215,0.06914570267332025,0.022266382843985317
A,2019-10-28,A_2019-10-28_34200000_57600000_60_1,4.27,390,-0.10132766170228502,-0.056256889023371434,-0.07772545660133091
A,2019-10-29,A_2019-10-29_34200000_57600000_60_1,6.4,390,0.009973597027980815,-0.05259910702261029,0.04414041898111469
A,2019-10-30,A_2019-10-30_34200000_57600000_60_1,5.75,390,-0.1101312818713571,-0.01956409377786446,0.005942490985521178
A,2019-10-31,A_2019-10-31_34200000_57600000_60_1,7.56,390,0.020826863435473762,-0.05616560797218563,-0.06723450477342983
