notebook,cell_id,stock,scorer,horizon,n,ic,ci_lo,ci_hi,p,p_adj,reject_fdr
4,cmp_TSLA_LM_5m,TSLA,LM,5.0,392.0,0.0027604691402555,-0.095924128847424,0.0966793482504469,0.486,0.8109411764705882,False
4,rel_macro_5m,agent_pooled,ofi_x_llm|macro,5.0,768.0,0.0029000988635282,-0.0747238401088213,0.0702306314218334,0.488,0.8109411764705882,False
1,uncond_2025_OFI_5m,pooled,OFI,5.0,2462.0,0.0007080354879922,-0.0396224113561388,0.0395384745333164,0.475,0.8109411764705882,False
4,cmp_META_OFI×LM_5m,META,OFI×LM,5.0,439.0,0.0049461923878655,-0.0896453424326248,0.0910310114940153,0.459,0.8109411764705882,False
4,cmp_TSLA_LLM_5m,TSLA,LLM,5.0,392.0,0.0053135527352719,-0.099838291122304,0.1026744227993624,0.475,0.8109411764705882,False
4,cmp_AAPL_OFI×LM_5m,AAPL,OFI×LM,5.0,502.0,0.0008043992376379,-0.0882543921143823,0.0970190671857195,0.47,0.8109411764705882,False
4,oos_LLM_1m,pooled_2025,LLM,1.0,2480.0,0.0030609898600132,-0.0364680809379209,0.0463397805176041,0.445,0.8109411764705882,False
4,cmp_AAPL_OFI×LM_1m,AAPL,OFI×LM,1.0,507.0,-0.0024359619018075,-0.0872985450345016,0.0845803559657992,0.501,0.8148732394366197,False
1,uncond_2025_OFI_1m,pooled,OFI,1.0,2480.0,-0.0003107980417444,-0.0423301701086011,0.0401740951385356,0.509,0.8148732394366197,False
4,rel_direct_5m,agent_pooled,ofi_x_llm|direct,5.0,1076.0,-0.0025414730646241,-0.0588247156929624,0.063593700973818,0.512,0.8148732394366197,False
4,cmp_AMD_LM_5m,AMD,LM,5.0,271.0,-0.0133047581742848,-0.1236359536691182,0.1008927257445993,0.573,0.86332,False
2,split_confirmed_5m,pooled,ofi_x_llm,5.0,5773.0,-0.0020407539824317,-0.0263947721749852,0.0249988892302019,0.562,0.86332,False
4,cmp_META_OFI×LLM_5m,META,OFI×LLM,5.0,439.0,-0.0078113676811965,-0.0974247038147098,0.0828230319477872,0.56,0.86332,False
4,cmp_AMD_OFI×LLM_15m,AMD,OFI×LLM,15.0,264.0,-0.0071260510802842,-0.1333148781016624,0.1132108872298612,0.571,0.86332,False
4,cmp_AAPL_LM_15m,AAPL,LM,15.0,498.0,-0.0224149947808124,-0.1101770939585247,0.0633016859339943,0.677,0.8748387096774194,False
4,cmp_TSLA_LLM_15m,TSLA,LLM,15.0,382.0,-0.0210504819595153,-0.1281010792445891,0.0859001425520813,0.655,0.8748387096774194,False
4,cmp_TSLA_OFI×LM_5m,TSLA,OFI×LM,5.0,392.0,-0.0249892253411809,-0.1251066959210806,0.0774921571576458,0.685,0.8748387096774194,False
